chr	windowStart	windowEnd	D	f_d	f_dM	d_f
NC_031965.2	94946	299331	-0.395907	-0.213575	-0.112418	-0.278289
NC_031965.2	147177	356324	-0.308283	-0.130304	-0.076734	-0.242034
NC_031965.2	176195	368518	-0.226511	-0.103698	-0.064717	-0.160092
NC_031965.2	240584	368781	0.106842	0.047198	0.032145	0.098998
NC_031965.2	300455	377911	0.342342	0.172252	0.119021	0.208828
NC_031965.2	359263	444048	0.277931	0.146657	0.093681	0.162730
NC_031965.2	368530	500795	0.202945	0.075540	0.048035	0.128361
NC_031965.2	368819	539661	-0.089959	-0.037309	-0.021783	-0.054738
NC_031965.2	377912	544468	0.056710	0.027530	0.016757	0.040563
NC_031965.2	444058	599328	0.129030	0.073166	0.039434	0.073562
NC_031965.2	512061	643234	0.134833	0.079661	0.048251	0.073024
NC_031965.2	539662	680104	0.228672	0.105780	0.068348	0.111971
NC_031965.2	544474	680674	0.059591	0.026378	0.016226	0.018949
NC_031965.2	603072	708575	0.000986	0.000523	0.000384	-0.003822
NC_031965.2	643241	734904	0.015861	0.012204	0.008725	0.009924
NC_031965.2	680112	747503	0.055620	0.049879	0.040259	0.025990
NC_031965.2	680679	778816	0.334519	0.201158	0.156717	0.120696
NC_031965.2	709015	779350	0.337705	0.237730	0.182551	0.125016
NC_031965.2	735481	855754	0.193952	0.170669	0.104638	0.093348
NC_031965.2	747527	916783	0.177811	0.167840	0.087898	0.090147
NC_031965.2	778817	986580	0.011515	0.009085	0.004230	0.018601
NC_031965.2	779352	1076280	-0.182411	-0.086792	-0.042021	-0.105894
NC_031965.2	855760	1151820	-0.166515	-0.047649	-0.023787	-0.072912
NC_031965.2	916794	1228881	-0.091938	-0.021511	-0.010545	-0.036989
NC_031965.2	989459	1327683	-0.181747	-0.046437	-0.023744	-0.074303
NC_031965.2	1076283	1435730	0.048124	0.009270	0.005599	0.016995
NC_031965.2	1151824	1479050	-0.062480	-0.014386	-0.009247	-0.027817
NC_031965.2	1229341	1480030	0.016904	0.004414	0.003280	0.010109
NC_031965.2	1330720	1480784	0.204298	0.063575	0.048605	0.112070
NC_031965.2	1437205	1483401	0.295614	0.200619	0.139879	0.161487
NC_031965.2	1479055	1483953	0.778696	0.667617	0.510992	0.332321
NC_031965.2	1480050	1484351	0.698785	0.607390	0.420622	0.249881
NC_031965.2	1480892	1484890	0.475645	0.356699	0.222262	0.107539
NC_031965.2	1483406	1485781	0.535142	0.588134	0.363472	0.182165
NC_031965.2	1483961	1605025	0.177845	0.040094	0.022422	0.089908
NC_031965.2	1484388	1610057	0.144571	0.046995	0.025579	0.072108
NC_031965.2	1484906	1618085	0.069155	0.038311	0.021207	0.041957
NC_031965.2	1485814	1629155	-0.054977	-0.033951	-0.017986	-0.047927
