chr	windowStart	windowEnd	D	f_d	f_dM	d_f
NC_031965.2	112506	297065	0.459750	0.307051	0.156388	0.355977
NC_031965.2	139717	352145	0.418017	0.301291	0.150527	0.355089
NC_031965.2	167681	368441	0.487988	0.390403	0.193776	0.383521
NC_031965.2	236967	368721	0.306039	0.271718	0.153166	0.187387
NC_031965.2	298423	377911	0.179741	0.209714	0.109728	0.092402
NC_031965.2	352150	443990	0.271308	0.167817	0.109147	0.123943
NC_031965.2	368461	494260	0.260118	0.152773	0.092531	0.126865
NC_031965.2	368724	539607	0.215040	0.127097	0.072439	0.120426
NC_031965.2	377912	544386	0.212534	0.133109	0.078136	0.133265
NC_031965.2	443993	578957	0.227956	0.228090	0.109181	0.146704
NC_031965.2	500433	607731	0.085176	0.097056	0.048787	0.055316
NC_031965.2	539626	679658	0.215680	0.171284	0.095529	0.128085
NC_031965.2	544391	680489	0.147830	0.114183	0.059724	0.072620
NC_031965.2	579023	702397	-0.020491	-0.013965	-0.008949	-0.015107
NC_031965.2	612894	710680	0.046188	0.035772	0.023325	0.024317
NC_031965.2	679705	746834	-0.004644	-0.004680	-0.003684	0.001810
NC_031965.2	680500	747529	0.046518	0.045125	0.037080	0.031074
NC_031965.2	702401	778816	0.369698	0.280002	0.211856	0.215688
NC_031965.2	710683	779347	0.320154	0.267993	0.204994	0.185037
NC_031965.2	746839	855629	0.215069	0.217403	0.129540	0.118228
NC_031965.2	747574	916751	0.173372	0.169374	0.091463	0.095727
NC_031965.2	778817	983781	-0.077407	-0.069951	-0.030760	-0.027622
NC_031965.2	779349	1030469	-0.217394	-0.153008	-0.064061	-0.115248
NC_031965.2	855669	1108171	-0.167282	-0.064080	-0.031232	-0.093916
NC_031965.2	916755	1171631	-0.080714	-0.027059	-0.012566	-0.056332
NC_031965.2	984372	1258279	-0.050087	-0.018556	-0.008535	-0.034907
NC_031965.2	1036200	1389816	0.132228	0.027820	0.016344	0.100330
NC_031965.2	1108181	1469644	-0.062807	-0.016364	-0.010265	-0.044349
NC_031965.2	1171777	1479120	-0.068647	-0.016644	-0.011538	-0.042732
NC_031965.2	1258282	1480157	-0.037650	-0.010129	-0.007636	-0.020062
NC_031965.2	1389918	1481008	0.064252	0.029608	0.022174	0.027390
NC_031965.2	1469804	1483049	0.431869	0.332518	0.241121	0.135354
NC_031965.2	1479122	1483637	0.351917	0.313875	0.240275	0.113495
NC_031965.2	1480175	1484037	0.212857	0.188326	0.138300	0.075573
NC_031965.2	1482701	1484464	-0.293641	-0.286106	-0.173321	-0.130582
NC_031965.2	1483058	1484960	-0.222912	-0.239165	-0.142605	-0.082818
NC_031965.2	1483699	1485837	0.016530	0.016058	0.010755	0.008149
NC_031965.2	1484050	1605033	0.181115	0.053336	0.026348	0.067652
NC_031965.2	1484475	1607940	0.290737	0.094657	0.045025	0.111545
NC_031965.2	1484968	1616585	0.189272	0.109652	0.051669	0.085221
NC_031965.2	1485847	1618085	0.086833	0.069257	0.030240	0.044989
NC_031965.2	1605079	1618378	-0.030655	-0.186457	-0.043015	-0.028261
NC_031965.2	1607994	1683265	-0.040866	-0.047764	-0.024405	-0.036543
NC_031965.2	1616613	1733847	-0.127723	-0.106842	-0.047848	-0.078022
NC_031965.2	1618088	1755760	-0.112567	-0.053226	-0.026751	-0.099962
NC_031965.2	1618388	1766681	0.160161	0.058451	0.031089	0.100029
NC_031965.2	1683270	1837292	0.216167	0.152776	0.071958	0.146813
NC_031965.2	1733853	1837755	0.016260	0.018951	0.010716	0.011441
NC_031965.2	1756082	1849995	0.003524	0.005695	0.003058	-0.003743
NC_031965.2	1766689	1916792	-0.009173	-0.017776	-0.008170	-0.011233
NC_031965.2	1837297	2010589	-0.051195	-0.105494	-0.049381	-0.031865
NC_031965.2	1837756	2103652	-0.168002	-0.191686	-0.095494	-0.141508
NC_031965.2	1875273	2159458	-0.294426	-0.176750	-0.093291	-0.233184
NC_031965.2	1924134	2196109	-0.369540	-0.177439	-0.111378	-0.296634
NC_031965.2	2010591	2218203	-0.498677	-0.219794	-0.138016	-0.440610
NC_031965.2	2107454	2234624	-0.481798	-0.187818	-0.123399	-0.383596
NC_031965.2	2159475	2279520	-0.482933	-0.242624	-0.158395	-0.399331
NC_031965.2	2196111	2291157	-0.344568	-0.192005	-0.126156	-0.277843
NC_031965.2	2218204	2358091	-0.364225	-0.188478	-0.112636	-0.291974
NC_031965.2	2238603	2418887	-0.464245	-0.296191	-0.154033	-0.392758
NC_031965.2	2281550	2425138	-0.445553	-0.341842	-0.171755	-0.343687
NC_031965.2	2293502	2425632	-0.420806	-0.343908	-0.171616	-0.265775
NC_031965.2	2363737	2443521	-0.334571	-0.341459	-0.176431	-0.191495
NC_031965.2	2418892	2474635	-0.159553	-0.155056	-0.088995	-0.072141
NC_031965.2	2425152	2535711	-0.233694	-0.144004	-0.087833	-0.104062
NC_031965.2	2425633	2568388	-0.480138	-0.271947	-0.154905	-0.283049
NC_031965.2	2443559	2612983	-0.579312	-0.263879	-0.153710	-0.395324
NC_031965.2	2475112	2679647	-0.632918	-0.183350	-0.119441	-0.518315
NC_031965.2	2535714	2746145	-0.708104	-0.242001	-0.147824	-0.641354
NC_031965.2	2569257	2808176	-0.409234	-0.126627	-0.079930	-0.345377
NC_031965.2	2616243	2847765	-0.282046	-0.083525	-0.051413	-0.243959
NC_031965.2	2679654	2953388	0.050130	0.020425	0.012050	0.021204
NC_031965.2	2747694	2979471	0.675118	0.241072	0.154017	0.485212
NC_031965.2	2809226	3046770	0.684379	0.309506	0.177256	0.511662
NC_031965.2	2853419	3100581	0.718475	0.353621	0.209834	0.613362
NC_031965.2	2953677	3132911	0.644631	0.375605	0.197997	0.502165
NC_031965.2	2979901	3177233	0.727525	0.367399	0.212598	0.603961
NC_031965.2	3049764	3276550	0.730158	0.346294	0.215715	0.644074
NC_031965.2	3100585	3292602	0.742907	0.369496	0.230691	0.650112
NC_031965.2	3132947	3327992	0.753484	0.381155	0.240734	0.624714
