chr	windowStart	windowEnd	D	f_d	f_dM	d_f
NC_031965.2	112506	309989	-0.570820	-0.323081	-0.186054	-0.447224
NC_031965.2	139717	359263	-0.640689	-0.395548	-0.222030	-0.512077
NC_031965.2	178763	368697	-0.389010	-0.326274	-0.182089	-0.299371
NC_031965.2	234204	377912	-0.228945	-0.238164	-0.134513	-0.146376
NC_031965.2	316025	402539	0.054164	0.060445	0.037883	0.060011
NC_031965.2	359270	444114	0.094929	0.083261	0.050557	0.087728
NC_031965.2	368715	512841	-0.089427	-0.050716	-0.032853	-0.031945
NC_031965.2	377924	543881	-0.138862	-0.072197	-0.047179	-0.081451
NC_031965.2	402542	568090	-0.319223	-0.176916	-0.119213	-0.197107
NC_031965.2	444116	607731	-0.238316	-0.149128	-0.104611	-0.139357
NC_031965.2	512851	669678	-0.123175	-0.075299	-0.054376	-0.076052
NC_031965.2	543891	680179	-0.117713	-0.077299	-0.054265	-0.073506
NC_031965.2	568104	680926	0.047813	0.031628	0.022974	0.026288
NC_031965.2	611585	709312	0.097632	0.064319	0.043523	0.050226
NC_031965.2	671604	726773	0.070684	0.119572	0.065811	0.031162
NC_031965.2	680375	746920	-0.019194	-0.029415	-0.014020	-0.013478
NC_031965.2	680943	761564	-0.077663	-0.070252	-0.035296	-0.046181
NC_031965.2	709336	778837	-0.397931	-0.496738	-0.224901	-0.221956
NC_031965.2	726781	779453	-0.361633	-0.642866	-0.245919	-0.199891
NC_031965.2	747104	855669	-0.259603	-0.307199	-0.153097	-0.146687
NC_031965.2	761568	886729	-0.122937	-0.172679	-0.090968	-0.075308
NC_031965.2	778860	944453	0.138181	0.108343	0.076989	0.064797
NC_031965.2	779467	1026125	0.135899	0.046820	0.034397	0.073705
NC_031965.2	855674	1081189	0.145365	0.033044	0.026153	0.083402
NC_031965.2	900617	1144679	-0.083160	-0.011170	-0.008469	-0.051611
NC_031965.2	972457	1183975	0.195335	0.044046	0.033844	0.142495
NC_031965.2	1030458	1258279	0.252935	0.063250	0.050094	0.187614
NC_031965.2	1082105	1361782	0.235149	0.073043	0.047013	0.186847
NC_031965.2	1151670	1432048	0.260500	0.081023	0.054192	0.198843
NC_031965.2	1185645	1479191	0.191664	0.059533	0.039258	0.153459
NC_031965.2	1258282	1482885	0.182009	0.087402	0.054919	0.155417
NC_031965.2	1369839	1485781	0.264541	0.162333	0.116727	0.234697
NC_031965.2	1433367	1605094	0.308208	0.179492	0.137864	0.292971
NC_031965.2	1479200	1610105	0.291228	0.178341	0.137152	0.254885
NC_031965.2	1482886	1617752	0.231259	0.143922	0.106185	0.166519
NC_031965.2	1485854	1618247	0.173244	0.094138	0.074844	0.098048
NC_031965.2	1605095	1657629	0.156583	0.220049	0.122411	0.088008
NC_031965.2	1610110	1707260	0.150033	0.132251	0.077654	0.080464
NC_031965.2	1617762	1755737	0.210402	0.100687	0.065622	0.112725
NC_031965.2	1618252	1764650	0.097380	0.036918	0.024337	0.059610
NC_031965.2	1657636	1802086	-0.041014	-0.015362	-0.011884	-0.038479
NC_031965.2	1707261	1837290	-0.087046	-0.045705	-0.035082	-0.060070
NC_031965.2	1756082	1837493	-0.099553	-0.100476	-0.056717	-0.061173
NC_031965.2	1764654	1846873	-0.081862	-0.176614	-0.065728	-0.046967
NC_031965.2	1802976	1880794	-0.175494	-0.596000	-0.158829	-0.082790
NC_031965.2	1837292	1966560	-0.138813	-0.366013	-0.131106	-0.070869
NC_031965.2	1837501	2092317	-0.131746	-0.178699	-0.076522	-0.063516
NC_031965.2	1846877	2156837	-0.029066	-0.013024	-0.008295	-0.022080
NC_031965.2	1880846	2189622	-0.075353	-0.024066	-0.016128	-0.046693
NC_031965.2	2005615	2218200	-0.041725	-0.009029	-0.006459	-0.028223
NC_031965.2	2097714	2239006	0.009441	0.001810	0.001465	0.001959
NC_031965.2	2157078	2282910	-0.289272	-0.060238	-0.049571	-0.190838
NC_031965.2	2190984	2305352	-0.255401	-0.060755	-0.052238	-0.156044
NC_031965.2	2218203	2386094	-0.253049	-0.062252	-0.051000	-0.175451
NC_031965.2	2239065	2418898	-0.153001	-0.036247	-0.030122	-0.085022
NC_031965.2	2282914	2425266	0.005664	0.001840	0.001541	0.010619
NC_031965.2	2307305	2427800	0.089871	0.043423	0.037890	0.066012
NC_031965.2	2386173	2443796	0.082628	0.055212	0.050234	0.052969
NC_031965.2	2418899	2521256	0.057456	0.031690	0.025139	0.024867
NC_031965.2	2425276	2561596	0.082636	0.030758	0.025166	0.046741
NC_031965.2	2433232	2607965	0.288849	0.069721	0.053344	0.153598
NC_031965.2	2443806	2650850	0.586970	0.145059	0.098861	0.442375
NC_031965.2	2521265	2708366	0.733708	0.257749	0.169176	0.665009
NC_031965.2	2565464	2784506	0.650151	0.223386	0.140511	0.612420
NC_031965.2	2612983	2836253	0.509670	0.177174	0.107852	0.478606
NC_031965.2	2654392	2858736	0.230981	0.085914	0.052428	0.211430
NC_031965.2	2708372	2955240	-0.483593	-0.170105	-0.101140	-0.364494
NC_031965.2	2788561	2980510	-0.563060	-0.276331	-0.151555	-0.408619
NC_031965.2	2836265	3043226	-0.722802	-0.333191	-0.199170	-0.546241
NC_031965.2	2859136	3075453	-0.710890	-0.366636	-0.210148	-0.593404
NC_031965.2	2955282	3132783	-0.693080	-0.331403	-0.199871	-0.531032
NC_031965.2	2980519	3151454	-0.730772	-0.360915	-0.220308	-0.572716
NC_031965.2	3043249	3266357	-0.744358	-0.349722	-0.207368	-0.587759
NC_031965.2	3075463	3292542	-0.798619	-0.365413	-0.228993	-0.660610
NC_031965.2	3132797	3304112	-0.767722	-0.480627	-0.269384	-0.638581
NC_031965.2	3159613	3350361	-0.773773	-0.460007	-0.270945	-0.603227
NC_031965.2	3269668	3388951	-0.724454	-0.556011	-0.304721	-0.528974
NC_031965.2	3292560	3429082	-0.678018	-0.358509	-0.222543	-0.497419
NC_031965.2	3307695	3496665	-0.533715	-0.220366	-0.145651	-0.415549
NC_031965.2	3351528	3504194	-0.159169	-0.077799	-0.053452	-0.108009
NC_031965.2	3388973	3504715	-0.026579	-0.016873	-0.011946	0.005000
NC_031965.2	3437079	3513575	0.063702	0.063650	0.041837	0.072041
NC_031965.2	3496681	3686995	-0.042797	-0.026189	-0.018138	0.004907
NC_031965.2	3504209	3701192	-0.147749	-0.084099	-0.055756	-0.054314
NC_031965.2	3504744	3702445	-0.220769	-0.149014	-0.089076	-0.101173
NC_031965.2	3513580	3727765	-0.235680	-0.167728	-0.099882	-0.130315
NC_031965.2	3697132	3727933	-0.263337	-0.694517	-0.270106	-0.140304
NC_031965.2	3701213	3728261	-0.272835	-0.753424	-0.286508	-0.150841
NC_031965.2	3705092	3729182	-0.277520	-0.483401	-0.249916	-0.153135
NC_031965.2	3727768	3733170	-0.153564	-0.217850	-0.139233	-0.076736
NC_031965.2	3727956	3741405	-0.094841	-0.118503	-0.080047	-0.043487
NC_031965.2	3728305	3768196	-0.108439	-0.175401	-0.110118	-0.054857
NC_031965.2	3729426	3769218	-0.080218	-0.179657	-0.108701	-0.044593
NC_031965.2	3733175	3770366	-0.066278	-0.325408	-0.152036	-0.037567
NC_031965.2	3741502	3772785	-0.034741	-0.196423	-0.097839	-0.016071
NC_031965.2	3768485	3773439	-0.044440	-0.267678	-0.128410	-0.020478
NC_031965.2	3769219	3773735	-0.010963	-0.051838	-0.028268	-0.002290
NC_031965.2	3770618	3774129	-0.033177	-0.145635	-0.072812	-0.011105
NC_031965.2	3772793	3774401	-0.036274	-0.188538	-0.087320	-0.017844
NC_031965.2	3773460	3774756	0.015420	0.100563	0.054483	0.007481
NC_031965.2	3773736	3775492	0.013499	0.120947	0.067356	0.005651
NC_031965.2	3774138	3775825	0.000587	0.005953	0.002739	-0.002086
NC_031965.2	3774437	3776212	-0.014269	-0.300363	-0.086646	-0.008471
NC_031965.2	3774757	3776624	-0.092482	-1.215574	-0.314219	-0.046279
NC_031965.2	3775494	3776979	-0.101636	-0.788600	-0.242420	-0.054175
NC_031965.2	3775833	3777419	-0.088188	-0.799569	-0.256208	-0.043476
NC_031965.2	3776219	3779452	-0.125446	-0.478014	-0.226880	-0.062972
NC_031965.2	3776630	3779989	-0.052082	-0.195960	-0.111754	-0.025668
NC_031965.2	3776984	3780366	-0.053609	-0.271945	-0.158249	-0.024399
NC_031965.2	3777421	3784440	0.016456	0.056978	0.037039	0.014609
NC_031965.2	3779543	3786003	0.079089	0.419225	0.260760	0.043161
NC_031965.2	3780035	3787612	0.126274	0.612629	0.393793	0.068688
NC_031965.2	3780406	3790955	0.103700	0.482609	0.262088	0.061321
NC_031965.2	3784551	3792103	0.039328	0.183635	0.103685	0.023774
NC_031965.2	3786018	3793188	-0.012934	-0.071109	-0.034668	-0.001157
NC_031965.2	3787630	3794314	-0.045036	-0.230391	-0.115798	-0.018739
NC_031965.2	3790969	3794989	-0.029376	-0.154699	-0.083790	-0.011690
NC_031965.2	3792111	3801825	-0.058513	-0.451461	-0.188690	-0.025956
NC_031965.2	3793190	3806187	-0.047798	-0.344807	-0.159498	-0.021388
NC_031965.2	3794315	3815945	-0.087711	-0.586287	-0.231273	-0.045534
NC_031965.2	3795313	3849437	-0.110557	-0.296385	-0.150539	-0.061144
NC_031965.2	3801832	3854458	-0.192145	-0.336205	-0.186340	-0.112726
NC_031965.2	3806200	3855331	-0.185136	-0.340238	-0.182480	-0.104196
NC_031965.2	3815948	3856460	-0.121132	-0.243100	-0.136849	-0.062480
NC_031965.2	3850754	3857308	-0.101826	-0.387847	-0.206626	-0.047215
NC_031965.2	3854479	3857973	-0.037212	-0.388167	-0.147030	-0.015377
NC_031965.2	3855406	3875440	-0.049734	-0.521338	-0.190076	-0.021631
NC_031965.2	3856752	3876126	-0.055555	-1.089517	-0.298525	-0.027113
NC_031965.2	3857361	3876545	-0.042825	-0.792983	-0.211696	-0.020360
NC_031965.2	3858024	3877036	-0.010228	-0.149812	-0.049062	-0.003598
NC_031965.2	3875441	3877304	0.013393	0.157461	0.072170	0.007384
NC_031965.2	3876129	3881048	0.025892	0.266781	0.121091	0.011784
NC_031965.2	3876549	3881344	0.031935	0.296668	0.143418	0.012273
NC_031965.2	3877037	3881648	0.040977	0.403831	0.223964	0.016827
NC_031965.2	3877320	3882028	0.016768	0.142617	0.065826	0.010905
NC_031965.2	3881050	3882407	0.019089	0.149891	0.066923	0.009830
NC_031965.2	3881355	3882906	0.014090	0.112833	0.045555	0.010408
NC_031965.2	3881657	3883342	0.016053	0.091711	0.037670	0.011993
NC_031965.2	3882036	3883849	0.007140	0.046567	0.017313	0.000829
NC_031965.2	3882416	3934565	-0.055262	-0.307153	-0.110450	-0.024401
NC_031965.2	3882913	3972596	-0.228274	-0.240932	-0.149069	-0.105979
NC_031965.2	3883360	3992365	-0.248447	-0.260165	-0.159468	-0.111141
NC_031965.2	3883859	4113583	-0.402781	-0.348015	-0.202753	-0.231414
NC_031965.2	3939098	4132938	-0.429061	-0.291082	-0.171475	-0.253346
NC_031965.2	3975455	4206178	-0.310739	-0.272507	-0.121299	-0.197086
NC_031965.2	3992370	4254440	-0.468893	-0.373630	-0.169137	-0.383666
NC_031965.2	4113606	4265798	-0.576558	-0.465449	-0.220222	-0.452272
NC_031965.2	4132950	4273195	-0.507932	-0.582570	-0.265185	-0.366504
NC_031965.2	4206708	4303655	-0.562989	-0.752680	-0.362295	-0.393727
NC_031965.2	4255462	4304084	-0.415252	-0.567863	-0.281633	-0.292960
