chr	windowStart	windowEnd	D	f_d	f_dM	d_f
NC_031965.2	112506	359263	0.191719	0.047620	0.039372	0.083705
NC_031965.2	148380	368607	-0.016691	-0.005542	-0.004216	-0.027330
NC_031965.2	232145	377263	-0.180684	-0.072716	-0.052514	-0.158196
NC_031965.2	300032	378108	-0.255997	-0.206374	-0.122795	-0.182764
NC_031965.2	359270	440339	-0.423793	-0.337698	-0.173212	-0.280072
NC_031965.2	368617	496729	-0.297391	-0.170834	-0.096680	-0.206187
NC_031965.2	377266	539540	-0.076559	-0.040228	-0.023554	-0.039791
NC_031965.2	378205	544240	-0.059480	-0.031419	-0.018357	-0.027914
NC_031965.2	443972	579395	0.063981	0.048075	0.027013	0.026957
NC_031965.2	500433	651850	0.034254	0.018976	0.011908	0.014783
NC_031965.2	539545	680104	-0.061259	-0.033094	-0.021191	-0.021763
NC_031965.2	544264	680656	-0.053885	-0.028137	-0.018447	-0.019249
NC_031965.2	598017	708016	-0.041822	-0.023327	-0.014703	-0.014219
NC_031965.2	651893	726773	-0.075146	-0.087871	-0.043486	-0.027583
NC_031965.2	680112	747352	-0.014876	-0.011917	-0.007348	-0.006854
NC_031965.2	680661	778822	0.090879	0.050338	0.032394	0.022654
NC_031965.2	708027	779453	0.041730	0.033658	0.021553	0.011710
NC_031965.2	726781	855754	0.123859	0.084341	0.061463	0.048352
NC_031965.2	747355	916795	0.001448	0.001272	0.000852	0.002761
NC_031965.2	778831	989497	-0.108764	-0.096230	-0.052958	-0.063243
NC_031965.2	779473	1076162	0.059995	0.028443	0.017276	0.035958
NC_031965.2	855760	1127642	0.003368	0.001173	0.000692	-0.000675
NC_031965.2	916796	1223641	-0.041281	-0.012062	-0.007231	-0.024392
NC_031965.2	989514	1330720	0.068882	0.017045	0.011305	0.028611
NC_031965.2	1076280	1400443	-0.194883	-0.047781	-0.031067	-0.074271
NC_031965.2	1128860	1478891	-0.066815	-0.018626	-0.010944	-0.028647
NC_031965.2	1227772	1479204	-0.114926	-0.036815	-0.020683	-0.050585
NC_031965.2	1338318	1480569	-0.331700	-0.169826	-0.081189	-0.183630
NC_031965.2	1400444	1483058	-0.449970	-0.468822	-0.149311	-0.254182
NC_031965.2	1478910	1483751	-0.799277	-2.335473	-0.493632	-0.459018
NC_031965.2	1479232	1484160	-0.715319	-1.356096	-0.386303	-0.364237
NC_031965.2	1480595	1484556	-0.642390	-1.045916	-0.319087	-0.285729
NC_031965.2	1483248	1485508	-0.463699	-0.746878	-0.238162	-0.227921
NC_031965.2	1483753	1564583	-0.553899	-0.232145	-0.106090	-0.285876
NC_031965.2	1484163	1607870	-0.502629	-0.179842	-0.093460	-0.238580
NC_031965.2	1484581	1617762	-0.304257	-0.177631	-0.095965	-0.168518
NC_031965.2	1485541	1618296	-0.151918	-0.105776	-0.060982	-0.080234
NC_031965.2	1568346	1694269	-0.026896	-0.016892	-0.011984	-0.003757
NC_031965.2	1608330	1744995	-0.013632	-0.010319	-0.006632	0.002803
NC_031965.2	1617769	1764656	0.118907	0.063059	0.040011	0.074873
NC_031965.2	1618358	1820068	-0.046603	-0.018160	-0.010545	-0.010406
NC_031965.2	1694411	1837469	0.124619	0.145891	0.066165	0.067278
NC_031965.2	1749146	1848200	0.300519	0.385879	0.231928	0.189820
NC_031965.2	1764718	1924171	0.258226	0.323229	0.215352	0.155957
NC_031965.2	1820069	2065210	0.398937	0.396608	0.321685	0.224195
NC_031965.2	1837528	2135309	0.280468	0.158367	0.111354	0.167802
NC_031965.2	1848211	2186658	-0.110555	-0.052364	-0.030022	-0.030466
NC_031965.2	1924355	2218182	-0.127819	-0.054110	-0.027863	-0.035872
NC_031965.2	2065216	2248302	-0.311535	-0.142137	-0.060550	-0.176813
NC_031965.2	2135310	2286020	-0.491078	-0.322798	-0.111767	-0.293928
NC_031965.2	2188284	2337973	-0.328848	-0.229862	-0.077050	-0.203488
NC_031965.2	2218204	2416563	-0.270449	-0.159773	-0.063644	-0.178935
NC_031965.2	2249795	2425110	-0.060221	-0.041444	-0.019073	-0.033196
NC_031965.2	2287964	2425533	-0.044955	-0.042504	-0.015949	-0.032516
