chr	windowStart	windowEnd	D	f_d	f_dM	d_f
NC_031965.2	94946	281037	0.306314	0.130758	0.080147	0.221871
NC_031965.2	141939	356319	0.175271	0.054810	0.036094	0.151832
NC_031965.2	171662	368514	0.206975	0.083392	0.054146	0.146170
NC_031965.2	229947	368779	0.117988	0.055687	0.037471	0.082826
NC_031965.2	281057	378216	0.007098	0.004216	0.003149	0.020757
NC_031965.2	356324	444048	0.196463	0.140768	0.084104	0.115147
NC_031965.2	368518	512079	0.173827	0.090606	0.056974	0.112456
NC_031965.2	368781	539662	0.144168	0.063984	0.041429	0.081019
NC_031965.2	383149	556539	-0.051627	-0.025197	-0.015254	-0.038164
NC_031965.2	444058	603072	-0.182056	-0.085158	-0.062172	-0.093946
NC_031965.2	512841	643241	-0.166570	-0.087888	-0.063742	-0.083166
NC_031965.2	539719	680082	-0.169610	-0.073689	-0.055435	-0.081371
NC_031965.2	558871	680643	0.011505	0.004296	0.003380	0.006644
NC_031965.2	607061	702397	0.030298	0.020111	0.013174	0.013220
NC_031965.2	651850	710683	0.092213	0.090894	0.059308	0.031327
NC_031965.2	680104	746839	-0.016216	-0.021176	-0.010222	-0.006527
NC_031965.2	680644	774091	-0.243013	-0.236629	-0.106785	-0.068763
NC_031965.2	702401	779034	-0.395357	-0.448198	-0.209303	-0.138521
NC_031965.2	710685	779780	-0.299219	-0.377835	-0.182442	-0.115164
NC_031965.2	746920	855838	-0.281539	-0.297262	-0.154385	-0.138465
NC_031965.2	774219	916813	-0.057373	-0.048722	-0.031291	-0.041121
NC_031965.2	779048	986577	0.118325	0.057929	0.043866	0.060864
NC_031965.2	779782	1076283	0.131541	0.028923	0.021724	0.069195
NC_031965.2	855845	1138736	0.197546	0.034300	0.025754	0.088821
NC_031965.2	916814	1183276	0.139583	0.024808	0.019034	0.064408
NC_031965.2	986580	1258264	0.167104	0.025941	0.020185	0.056127
NC_031965.2	1076315	1361187	0.210685	0.039293	0.026961	0.072626
NC_031965.2	1144679	1417644	0.168536	0.038801	0.025272	0.059513
NC_031965.2	1185645	1479032	0.103223	0.023620	0.014500	0.036552
NC_031965.2	1258279	1479668	0.209514	0.086995	0.047599	0.105545
NC_031965.2	1361782	1480683	0.140134	0.097761	0.061612	0.075867
NC_031965.2	1432048	1483335	0.211389	0.208819	0.148930	0.137330
NC_031965.2	1479043	1483899	0.205161	0.385603	0.262236	0.124661
NC_031965.2	1479893	1484307	0.141155	0.318479	0.178144	0.080544
NC_031965.2	1480726	1484730	0.230258	0.543214	0.231698	0.099887
NC_031965.2	1483372	1485571	0.167829	0.796670	0.228007	0.067488
NC_031965.2	1483910	1553417	0.276480	0.100392	0.079291	0.141584
NC_031965.2	1484310	1607870	0.205585	0.058288	0.046529	0.099616
NC_031965.2	1484772	1617785	0.115456	0.049012	0.038734	0.062648
NC_031965.2	1485679	1618376	0.178818	0.080746	0.065582	0.117985
NC_031965.2	1553655	1695931	0.049376	0.025442	0.017695	0.035539
NC_031965.2	1608330	1748943	0.030132	0.019106	0.012779	0.030067
NC_031965.2	1617848	1762951	-0.000264	-0.000114	-0.000076	0.019958
NC_031965.2	1618378	1802070	-0.109398	-0.034747	-0.023684	-0.064512
NC_031965.2	1695976	1837281	-0.067885	-0.038664	-0.027421	-0.024993
NC_031965.2	1749146	1837756	-0.247180	-0.299808	-0.166181	-0.131303
NC_031965.2	1762965	1875860	-0.250914	-0.366643	-0.188430	-0.130600
NC_031965.2	1802086	1966534	-0.282793	-0.382635	-0.209653	-0.141940
NC_031965.2	1837290	2065216	-0.278252	-0.453950	-0.189439	-0.148776
NC_031965.2	1837766	2136961	-0.025771	-0.013115	-0.008199	-0.017255
NC_031965.2	1879116	2185452	-0.044894	-0.016255	-0.010075	-0.025024
NC_031965.2	1966544	2218457	-0.011109	-0.003805	-0.002340	-0.015122
NC_031965.2	2076521	2255200	-0.023105	-0.006469	-0.004679	-0.012487
NC_031965.2	2144319	2289857	-0.296801	-0.136695	-0.087957	-0.145485
NC_031965.2	2186658	2341940	0.003355	0.001512	0.001141	-0.000475
NC_031965.2	2218458	2418892	-0.014971	-0.006602	-0.004887	0.003685
NC_031965.2	2257618	2425138	0.051679	0.030772	0.021958	0.034098
NC_031965.2	2290132	2425632	0.135580	0.101780	0.078849	0.074102
NC_031965.2	2357869	2443582	0.034076	0.041200	0.031589	0.021323
NC_031965.2	2418898	2475114	0.032867	0.046429	0.033564	0.011501
NC_031965.2	2425152	2537029	0.045344	0.034342	0.023864	0.011408
NC_031965.2	2425633	2582282	0.039768	0.016366	0.011625	0.004554
NC_031965.2	2443585	2638918	0.161530	0.048429	0.028560	0.074604
NC_031965.2	2475125	2683156	-0.191706	-0.057848	-0.035292	-0.158283
NC_031965.2	2540610	2763568	-0.258212	-0.063083	-0.037918	-0.196653
NC_031965.2	2586183	2817137	-0.186313	-0.045334	-0.027121	-0.146492
NC_031965.2	2644594	2858736	-0.290730	-0.068817	-0.042821	-0.182414
NC_031965.2	2683251	2972077	0.072418	0.012873	0.007611	0.070826
NC_031965.2	2768213	3008444	-0.068730	-0.017655	-0.010192	-0.016791
