chr	windowStart	windowEnd	D	f_d	f_dM	d_f
NC_031965.2	112595	339118	-0.222829	-0.076454	-0.050827	-0.109947
NC_031965.2	135807	368480	-0.131341	-0.048620	-0.033169	-0.060618
NC_031965.2	188954	368763	0.075979	0.037812	0.024672	0.090602
NC_031965.2	281057	378107	0.128191	0.116538	0.075687	0.105180
NC_031965.2	348105	424249	0.318982	0.274755	0.176041	0.206812
NC_031965.2	368487	482663	0.272207	0.169039	0.107995	0.195939
NC_031965.2	368765	539525	0.098835	0.041040	0.029842	0.074714
NC_031965.2	378108	543937	0.083544	0.033976	0.024152	0.047615
NC_031965.2	427117	579140	-0.042566	-0.017210	-0.013429	-0.020553
NC_031965.2	483695	632042	-0.067174	-0.035501	-0.027759	-0.033222
NC_031965.2	539540	679788	0.062991	0.035918	0.026833	0.027299
NC_031965.2	544140	680587	0.032633	0.018882	0.014098	0.013496
NC_031965.2	579145	689162	0.060092	0.044311	0.031257	0.028014
NC_031965.2	632402	710640	0.124202	0.110560	0.070538	0.060299
NC_031965.2	679811	736188	0.033337	0.059538	0.027620	0.019744
NC_031965.2	680634	747366	0.021188	0.030794	0.014467	0.012766
NC_031965.2	701654	778750	-0.031047	-0.021185	-0.010958	-0.013145
NC_031965.2	710643	779242	-0.050615	-0.045006	-0.025311	-0.023955
NC_031965.2	739854	781881	-0.071668	-0.097661	-0.054542	-0.038318
NC_031965.2	747369	855951	-0.025428	-0.023612	-0.013897	-0.015520
NC_031965.2	778764	943149	0.055548	0.050066	0.034180	0.027870
NC_031965.2	779245	1056556	-0.057006	-0.025369	-0.018135	-0.036241
NC_031965.2	783928	1115902	-0.024937	-0.006266	-0.004524	-0.014790
NC_031965.2	856093	1174432	0.077729	0.019248	0.014783	0.064545
NC_031965.2	944307	1269298	0.145001	0.032956	0.024701	0.111680
NC_031965.2	1057899	1372876	0.371767	0.099141	0.066370	0.288839
NC_031965.2	1116689	1435730	0.345597	0.093921	0.064545	0.249592
NC_031965.2	1183255	1479050	0.161118	0.050758	0.032346	0.113114
NC_031965.2	1294735	1479668	0.169540	0.069209	0.042571	0.110800
NC_031965.2	1376116	1480667	0.205134	0.093138	0.066964	0.113672
NC_031965.2	1437205	1482974	0.317497	0.280117	0.181683	0.186004
NC_031965.2	1479055	1483401	0.593019	0.699303	0.461385	0.319637
NC_031965.2	1479817	1483953	0.399395	0.564232	0.290441	0.225897
NC_031965.2	1480670	1484351	0.208339	0.403296	0.140697	0.151295
NC_031965.2	1482992	1484856	0.102746	0.246591	0.071862	0.081691
NC_031965.2	1483406	1485729	0.283079	0.506433	0.202613	0.186337
NC_031965.2	1483961	1595436	0.578136	0.163218	0.126726	0.412126
NC_031965.2	1484388	1607870	0.553105	0.167928	0.132953	0.344437
NC_031965.2	1484860	1616533	0.414360	0.156902	0.124856	0.226065
NC_031965.2	1485737	1617848	0.278239	0.127457	0.103553	0.146334
NC_031965.2	1595475	1618358	0.058068	0.128417	0.091748	0.024904
NC_031965.2	1607887	1684043	0.111090	0.121045	0.069939	0.047981
NC_031965.2	1616535	1752200	0.108948	0.072671	0.047425	0.048230
NC_031965.2	1617854	1762303	0.114948	0.058150	0.038077	0.048257
NC_031965.2	1618376	1802976	0.325333	0.111498	0.076954	0.191932
NC_031965.2	1695931	1837306	0.171865	0.068401	0.057023	0.108053
NC_031965.2	1752252	1837550	0.002373	0.002402	0.001405	0.003666
NC_031965.2	1762951	1848200	-0.137003	-0.252955	-0.105008	-0.086316
NC_031965.2	1804788	1905209	-0.224275	-0.506289	-0.185666	-0.120487
NC_031965.2	1837307	2010580	-0.199652	-0.514472	-0.169383	-0.112072
NC_031965.2	1837620	2097719	-0.334651	-0.507607	-0.191760	-0.214651
NC_031965.2	1848211	2154367	-0.225500	-0.121905	-0.072941	-0.171917
NC_031965.2	1905225	2195889	-0.395582	-0.187826	-0.113855	-0.301785
NC_031965.2	2010589	2218203	-0.523693	-0.225204	-0.142250	-0.432553
NC_031965.2	2097730	2238603	-0.503684	-0.192174	-0.136440	-0.413247
NC_031965.2	2158003	2282878	-0.659800	-0.280048	-0.194382	-0.523248
